video_id,channel_id,title,published_at,duration_seconds,duration_bucket,views,likes,comments_count,engagement_rate,idr,vii,vvi,avg_sentiment,channel_name
r9imv1z82jQ,UCLLw7jmFsvfIVaUFsLs8mlQ,Luke Barousse Live Stream,2023-05-12 13:06:55+00:00,0,Short,0,0,0,0.0,0.0,0.0,0.0,,Luke Barousse
jdqWbzwm1IU,UCLLw7jmFsvfIVaUFsLs8mlQ,Secrets of a Data Science Hiring Manager 🤫 - Pt.2,2023-03-03 16:00:32+00:00,38,Short,9153,419,0,4.5777,0.0,4.5777,7.28,,Luke Barousse
DdOdSl7k7fU,UCWr0mx597DnSGLFk1WfvSkQ,Do something,2024-06-23 19:40:47+00:00,12,Short,1140,25,0,2.193,0.0,2.193,1.46,,Hallden
Mxbegtx1DVc,UCWr0mx597DnSGLFk1WfvSkQ,Code With Me - Timetracking app #6,2024-06-17 10:20:55+00:00,14607,Extended,4949,116,0,2.3439,0.0,2.3439,6.3,,Hallden
BgxBEKhaqyQ,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer Live Stream,2022-09-19 11:56:32+00:00,0,Short,0,0,0,0.0,0.0,0.0,0.0,,StatQuest with Josh Starmer
ol9_NnC9-cc,UCLLw7jmFsvfIVaUFsLs8mlQ,"Data Engineer Bootcamp (FREE 27+ Hour Course) - SQL, Python, Cloud, Bash, AI, Git & GitHub",2026-06-15 12:00:33+00:00,98395,Extended,111356,4963,263,4.6931,5.2992,5.1654,1953.61,0.326,Luke Barousse
MOzEvNYvbik,UCLLw7jmFsvfIVaUFsLs8mlQ,"Data Analyst Bootcamp (FREE 35+ Hour Full Course) - SQL, Excel, Power BI, Python, AI & GitHub",2026-06-02 12:00:29+00:00,128225,Extended,155032,6939,485,4.7887,6.9895,5.4144,2214.74,0.2833,Luke Barousse
TFFzNjWkhDk,UCLLw7jmFsvfIVaUFsLs8mlQ,How I Would Learn to be a Data Analyst,2026-05-27 12:00:19+00:00,851,Long,69610,2338,103,3.5067,4.4055,3.8026,915.92,0.419,Luke Barousse
_-DzZeixu0w,UCLLw7jmFsvfIVaUFsLs8mlQ,How I Would Learn to be a Data Engineer,2026-05-11 12:01:04+00:00,2369,Extended,40870,1551,65,3.954,4.1908,4.2721,444.24,0.3734,Luke Barousse
mE6AbbllXr8,UCLLw7jmFsvfIVaUFsLs8mlQ,What Data Skills Should You Learn? (My Free App Tells You),2026-04-08 12:01:25+00:00,342,Medium,7081,393,57,6.355,14.5038,7.965,56.65,0.5128,Luke Barousse
